"resp","rt"
0,0.329
1,0.248
1,0.26
1,0.261
1,0.263
1,0.263
1,0.264
1,0.268
1,0.268
1,0.274
1,0.274
1,0.275
1,0.276
1,0.277
1,0.278
1,0.279
1,0.279
1,0.282
1,0.282
1,0.284
1,0.284
1,0.286
1,0.286
1,0.286
1,0.288
1,0.288
1,0.289
1,0.289
1,0.29
1,0.29
1,0.29
1,0.294
1,0.294
1,0.295
1,0.295
1,0.295
1,0.296
1,0.296
1,0.297
1,0.297
1,0.297
1,0.298
1,0.299
1,0.299
1,0.299
1,0.303
1,0.306
1,0.307
1,0.308
1,0.308
1,0.308
1,0.309
1,0.309
1,0.31
1,0.31
1,0.311
1,0.311
1,0.311
1,0.312
1,0.313
1,0.313
1,0.314
1,0.314
1,0.314
1,0.314
1,0.315
1,0.315
1,0.315
1,0.315
1,0.315
1,0.316
1,0.316
1,0.316
1,0.317
1,0.317
1,0.319
1,0.32
1,0.32
1,0.32
1,0.321
1,0.321
1,0.321
1,0.323
1,0.323
1,0.324
1,0.325
1,0.325
1,0.326
1,0.327
1,0.327
1,0.328
1,0.329
1,0.329
1,0.329
1,0.329
1,0.33
1,0.33
1,0.33
1,0.331
1,0.331
1,0.331
1,0.331
1,0.331
1,0.332
1,0.333
1,0.334
1,0.334
1,0.334
1,0.335
1,0.335
1,0.337
1,0.337
1,0.337
1,0.338
1,0.339
1,0.34
1,0.341
1,0.342
1,0.342
1,0.343
1,0.344
1,0.344
1,0.345
1,0.345
1,0.346
1,0.346
1,0.347
1,0.347
1,0.348
1,0.35
1,0.35
1,0.35
1,0.351
1,0.351
1,0.351
1,0.351
1,0.352
1,0.352
1,0.353
1,0.356
1,0.357
1,0.358
1,0.358
1,0.359
1,0.359
1,0.359
1,0.362
1,0.363
1,0.363
1,0.364
1,0.366
1,0.366
1,0.366
1,0.37
1,0.373
1,0.375
1,0.376
1,0.376
1,0.38
1,0.382
1,0.382
1,0.384
1,0.384
1,0.386
1,0.389
1,0.39
1,0.391
1,0.392
1,0.393
1,0.395
1,0.395
1,0.398
1,0.398
1,0.399
1,0.401
1,0.402
1,0.407
1,0.409
1,0.413
1,0.415
1,0.415
1,0.417
1,0.422
1,0.423
1,0.427
1,0.427
1,0.428
1,0.431
1,0.436
1,0.44
1,0.445
1,0.449
1,0.452
1,0.456
1,0.457
1,0.463
1,0.471
1,0.488
